device_name_actual,school_name_official,gender,sch_psle,level
12029,Chua Chu Kang Secondary School,99.0,4.0,2
12031,Chua Chu Kang Secondary School,99.0,4.0,2
12040,Chua Chu Kang Secondary School,99.0,4.0,2
12042,Chua Chu Kang Secondary School,99.0,4.0,1
12046,Chua Chu Kang Secondary School,99.0,4.0,2
12047,Chua Chu Kang Secondary School,99.0,4.0,2
12049,Chua Chu Kang Secondary School,99.0,4.0,1
12050,Chua Chu Kang Secondary School,99.0,4.0,2
12051,Chua Chu Kang Secondary School,99.0,4.0,2
12052,Chua Chu Kang Secondary School,99.0,4.0,1
12062,Chua Chu Kang Secondary School,99.0,4.0,2
12064,Chua Chu Kang Secondary School,99.0,4.0,2
12066,Chua Chu Kang Secondary School,99.0,4.0,2
12067,Chua Chu Kang Secondary School,99.0,4.0,2
12069,Chua Chu Kang Secondary School,99.0,4.0,2
12070,Chua Chu Kang Secondary School,99.0,4.0,1
12075,Chua Chu Kang Secondary School,99.0,4.0,1
12076,Chua Chu Kang Secondary School,99.0,4.0,2
12078,Chua Chu Kang Secondary School,99.0,4.0,2
12079,Chua Chu Kang Secondary School,99.0,4.0,2
12080,Chua Chu Kang Secondary School,99.0,4.0,2
12083,Chua Chu Kang Secondary School,99.0,4.0,2
12092,Chua Chu Kang Secondary School,99.0,4.0,2
12099,Chua Chu Kang Secondary School,99.0,4.0,2
12102,Chua Chu Kang Secondary School,99.0,4.0,2
12104,Chua Chu Kang Secondary School,99.0,4.0,2
12107,Chua Chu Kang Secondary School,99.0,4.0,2
12109,Chua Chu Kang Secondary School,99.0,4.0,2
12111,Chua Chu Kang Secondary School,99.0,4.0,2
12119,Chua Chu Kang Secondary School,99.0,4.0,1
12120,Chua Chu Kang Secondary School,99.0,4.0,2
12124,Chua Chu Kang Secondary School,99.0,4.0,2
12132,Chua Chu Kang Secondary School,99.0,4.0,2
12134,Chua Chu Kang Secondary School,99.0,4.0,1
12135,Chua Chu Kang Secondary School,99.0,4.0,1
12137,Chua Chu Kang Secondary School,99.0,4.0,2
12139,Chua Chu Kang Secondary School,99.0,4.0,2
12149,Chua Chu Kang Secondary School,99.0,4.0,2
12150,Chua Chu Kang Secondary School,99.0,4.0,2
12155,Chua Chu Kang Secondary School,99.0,4.0,2
12161,Chua Chu Kang Secondary School,99.0,4.0,2
12165,Chua Chu Kang Secondary School,99.0,4.0,2
12171,Chua Chu Kang Secondary School,99.0,4.0,2
12172,Chua Chu Kang Secondary School,99.0,4.0,1
12178,Chua Chu Kang Secondary School,99.0,4.0,2
12182,Chua Chu Kang Secondary School,99.0,4.0,2
12186,Chua Chu Kang Secondary School,99.0,4.0,2
12187,Chua Chu Kang Secondary School,99.0,4.0,2
12188,Chua Chu Kang Secondary School,99.0,4.0,2
